name;Dependen;Group;Independen_1;Independen_2
Mazda RX4;21;6;2.62;1
Mazda RX4 Wag;21;6;2.875;1
Datsun 710;22.8;4;2.32;1
Hornet 4 Drive;21.4;6;3.215;0
Hornet Sportabout;18.7;8;3.44;0
Valiant;18.1;6;3.46;0
Duster 360;14.3;8;3.57;0
Merc 240D;24.4;4;3.19;0
Merc 230;22.8;4;3.15;0
Merc 280;19.2;6;3.44;0
Merc 280C;17.8;6;3.44;0
Merc 450SE;16.4;8;4.07;0
Merc 450SL;17.3;8;3.73;0
Merc 450SLC;15.2;8;3.78;0
Cadillac Fleetwood;10.4;8;5.25;0
Lincoln Continental;10.4;8;5.424;0
Chrysler Imperial;14.7;8;5.345;0
Fiat 128;32.4;4;2.2;1
Honda Civic;30.4;4;1.615;1
Toyota Corolla;33.9;4;1.835;1
Toyota Corona;21.5;4;2.465;0
Dodge Challenger;15.5;8;3.52;0
AMC Javelin;15.2;8;3.435;0
Camaro Z28;13.3;8;3.84;0
Pontiac Firebird;19.2;8;3.845;0
Fiat X1-9;27.3;4;1.935;1
Porsche 914-2;26;4;2.14;1
Lotus Europa;30.4;4;1.513;1
Ford Pantera L;15.8;8;3.17;1
Ferrari Dino;19.7;6;2.77;1
Maserati Bora;15;8;3.57;1
Volvo 142E;21.4;4;2.78;1
